iter	TotalF1	MultiClass
640	0.9282385517	0.5286323283
641	0.9284919617	0.5281167408
642	0.9286336233	0.527637053
643	0.9293050263	0.5274239117
644	0.9298452566	0.5269726507
645	0.9298411236	0.5266159572
646	0.9298609367	0.5263317621
647	0.9303981602	0.5258514194
648	0.9313292031	0.5251670267
649	0.9316024559	0.52488617
650	0.9322850895	0.5244094584
651	0.9325504328	0.5235522232
652	0.932563549	0.5230912063
653	0.9326999459	0.5226393981
654	0.9331030341	0.5222088533
655	0.9329628793	0.5219343567
656	0.9329628793	0.5216431534
657	0.9326805841	0.521374808
658	0.9326701729	0.5208698259
659	0.9328093837	0.5207748665
660	0.9332228284	0.5203748926
661	0.9333508405	0.519851156
662	0.9336225559	0.5196968795
663	0.9338905048	0.5191927858
664	0.9337439162	0.5189602091
665	0.9341677535	0.5186807704
666	0.9336175042	0.5182814664
667	0.9338808716	0.5176520722
668	0.9342948699	0.5172064702
669	0.9349690485	0.5169093316
670	0.9355199108	0.5163664089
671	0.9359086424	0.5158598111
672	0.9364618549	0.5155145757
673	0.9357853069	0.5152662219
674	0.9357842353	0.514925511
675	0.9357760226	0.5145754389
676	0.9361776091	0.5140608089
677	0.9371447114	0.5135791691
678	0.9372745757	0.5131505563
679	0.9374062521	0.5129163735
680	0.9376749704	0.5123053231
681	0.9375398095	0.5120029526
682	0.9375216817	0.5115189386
683	0.9380737317	0.5112503958
684	0.9383444493	0.5108124969
685	0.9384680561	0.5105643209
686	0.9384761692	0.5103465528
687	0.9386176801	0.5098796244
688	0.9387468657	0.5093160312
689	0.9391553296	0.5088891138
690	0.9390067416	0.5084981357
691	0.9386080032	0.5082134415
692	0.9388941751	0.5078920937
693	0.9403845279	0.5073668264
694	0.939972198	0.5072483798
695	0.9403760482	0.5069662265
696	0.9403727413	0.5068093894
697	0.9405095299	0.5064717007
698	0.9403735555	0.5061336535
699	0.9410545682	0.5057108576
700	0.9413154118	0.5052686948
701	0.941851722	0.5046552139
702	0.9423854327	0.504335708
703	0.9419993307	0.503892012
704	0.9424071943	0.5033390004
705	0.9428036467	0.5028924062
706	0.9428112317	0.5025692804
707	0.9432122112	0.5022691686
708	0.943616966	0.5019233025
709	0.9437526751	0.5017914625
710	0.944021574	0.5013765167
711	0.9441530004	0.5009342504
712	0.9442856086	0.5006011051
713	0.944282924	0.5001939208
714	0.9441441293	0.4998177416
715	0.9448239132	0.4991844435
716	0.9450935245	0.4986497334
717	0.9456402937	0.4981103843
718	0.9457671911	0.4976276
719	0.9463030216	0.4970081503
720	0.9469818027	0.4964865087
721	0.9464378687	0.4962114942
722	0.9464378687	0.4959695286
723	0.9467034098	0.4955470938
724	0.9476528262	0.4949684312
725	0.9479276309	0.4947150587
726	0.9476554209	0.494412726
